Year,Player,FPTS
2019,Michael Thomas,374.6
2019,Chris Godwin,276.1
2019,Julio Jones,274.1
2019,Cooper Kupp,270.5
2019,DeAndre Hopkins,268.54
2019,Keenan Allen,261.5
2019,Julian Edelman,256.28
2019,Allen Robinson II,254.9
2019,Kenny Golladay,248
2019,Amari Cooper,246.5
2019,DeVante Parker,246.2
2019,Jarvis Landry,237.4
2019,Tyler Lockett,235.2
2019,Robert Woods,232.9
2019,Mike Evans,232.7
2019,D.J. Moore,230.5
2019,DJ Chark Jr.,225.8
2019,Tyler Boyd,222.9
2019,Courtland Sutton,222.42
2019,John Brown,219.82
2019,A.J. Brown,217.1
2019,Michael Gallup,212.7
2019,Davante Adams,212.7
2019,Stefon Diggs,212.1
2019,Odell Beckham Jr.,201.3
2019,Jamison Crowder,197.7
2019,Calvin Ridley,197
2019,Marvin Jones Jr.,193.9
2019,Terry McLaurin,191.9
2019,Emmanuel Sanders,190.3
2019,Deebo Samuel,189.1
2019,Tyreek Hill,188.3
2019,DK Metcalf,187.1
2019,Cole Beasley,184.8
2019,Larry Fitzgerald,177.4
2019,Curtis Samuel,171.7
2019,Darius Slayton,170
2019,Christian Kirk,168.2
2019,Robby Anderson,162.3
2019,Mike Williams,161.3
2019,Diontae Johnson,157.1
2019,Dede Westbrook,156.7
2019,Chris Conley,156.5
2019,Randall Cobb,154.9
2019,Golden Tate,152.2
2019,Marquise Brown,146.4
2019,Tyrell Williams,143.1
2019,Sterling Shepard,141.8
2019,Danny Amendola,140.56
2019,Sammy Watkins,138.5
2019,Breshad Perriman,138.1
2019,Zach Pascal,135.3
2019,Will Fuller V,134
2019,James Washington,133.5
2019,Hunter Renfrow,133.5
2019,Anthony Miller,127.5
2019,T.Y. Hilton,125.1
2019,Mohamed Sanu Sr.,124.1
2019,Alshon Jeffery PUP,122.2
2019,Kenny Stills,120.1
2019,Brandin Cooks,117.5
2019,Corey Davis PUP,115.1
2019,Adam Thielen,114.4
2019,Mecole Hardman,113.5
2019,JuJu Smith-Schuster,113.2
2019,Steven Sims Jr.,103.5
2019,Allen Lazard,102.8
2019,Auden Tate,101.5
2019,Demarcus Robinson,100.9
2019,Phillip Dorsett II,100.8
2019,Russell Gage,98.8
2019,Kendrick Bourne,97.8
2019,Alex Erickson,96.24
2019,Willie Snead IV,95.1
2019,John Ross III,95
2019,Nelson Agholor,94
2019,Preston Williams,90.8
2019,Taylor Gabriel,90.3
2019,Albert Wilson,89.4
2019,Adam Humphries,86.5
2019,Ted Ginn Jr.,85.9
2019,Demaryius Thomas,85.3
2019,Marquez Valdes-Scantling,84.1
2019,Allen Hurns,83.6
2019,Tajaé Sharpe,81.9
2019,Bisi Johnson,79
2019,Keelan Cole,78.7
2019,Geronimo Allison,75.4
2019,Josh Gordon SUS,73.7
2019,Damiere Byrd,71.9
2019,Tre'Quan Smith,71.4
2019,Kelvin Harmon,66.94
2019,Cody Latimer,66
2019,Paul Richardson,64.5
2019,DaeSean Hamilton,63.7
2019,Isaiah McKenzie,63.3
2019,Josh Reynolds,61.9
2019,Jakobi Meyers,61.9
2019,Seth Roberts,60.1
2019,Greg Ward,59.9
2019,David Moore,59.6
2019,Jarius Wright,56.9
2019,Marcus Johnson,56.7
2019,Pharoh Cooper,55.5
2019,Keke Coutee,52.8
2019,Trey Quinn,51.8
2019,Miles Boykin,50.8
2019,Zay Jones,48.9
2019,Vyncint Smith,48.7
2019,Isaiah Ford,48.5
2019,Jaron Brown,48
2019,Tavon Austin,47.4
2019,Bennie Fowler,46.3
2019,KeeSean Johnson,46
2019,Chester Rogers,45.7
2019,Malik Turner,45.5
2019,Justin Watson,42.9
2019,Javon Wims,42.6
2019,Scotty Miller,40.6
2019,Jake Kumerow,39.9
2019,Jakeem Grant,39.9
2019,Marvin Hall,39.8
2019,N'Keal Harry,39.4
2019,Justin Hardy,38.5
2019,Marquise Goodwin,38.1
2019,Parris Campbell,38.1
2019,Damion Ratley,38
2019,Tim Patrick,37.8
2019,DeSean Jackson,36.9
2019,Andy Isabella,35.4
2019,Byron Pringle,35
2019,Duke Williams,34.6
2019,Dante Pettis,34.54
2019,Laquon Treadwell,33.4
2019,J.J. Arcega-Whiteside,32.9
2019,Dontrelle Inman,30.1
2019,Cordarrelle Patterson,29.6
2019,Kalif Raymond,29.5
2019,Trevor Davis,28.4
2019,Richie James Jr.,26.4
2019,DeAndre Carter,25.2
2019,Keelan Doss,24.3
2019,Mack Hollins,22.5
2019,Devin Smith,22.3
2019,Deon Cain,21.4
