,careergames,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player,Year,School,Conf,Class,Pos,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds
0,,161.0,1743.0,10.8,9.0,117.0,594.0,5.1,8.0,278,2337,8.4,17,Derrick Williams,2008,Penn State,Big Ten,SR,WR,13.0,44.0,485.0,11.0,4.0,43.0,243.0,5.7,3.0,87,728,8.4,7,13.0,55.0,529.0,9.6,3.0,16.0,101.0,6.3,1.0,71,630,8.9,4,13.0,40.0,440.0,11.0,1.0,36.0,145.0,4.0,1.0,76,585,7.7,2
0,,101.0,1910.0,18.9,15.0,11.0,94.0,8.5,0.0,112,2004,17.9,15,Mike Wallace,2008,Ole Miss,SEC,SR,WR,13.0,39.0,784.0,20.1,7.0,10.0,92.0,9.2,0.0,49,876,17.9,7,12.0,38.0,716.0,18.8,6.0,,,,,38,716,18.8,6,12.0,24.0,410.0,17.1,2.0,1.0,2.0,2.0,0.0,25,412,16.5,2
0,,132.0,1931.0,14.6,16.0,19.0,63.0,3.3,0.0,151,1994,13.2,16,Tiquan Underwood,2008,Rutgers,Big East,SR,WR,13.0,40.0,494.0,12.4,5.0,,,,,40,494,12.4,5,13.0,65.0,1100.0,16.9,7.0,,,,,65,1100,16.9,7,12.0,23.0,290.0,12.6,4.0,,,,,23,290,12.6,4
0,,138.0,1752.0,12.7,17.0,,,,,138,1752,12.7,17,Patrick Turner,2008,USC,Pac-10,SR,WR,13.0,49.0,741.0,15.1,10.0,,,,,49,741,15.1,10,11.0,48.0,569.0,11.9,3.0,,,,,48,569,11.9,3,13.0,29.0,272.0,9.4,2.0,,,,,29,272,9.4,2
0,,259.0,3231.0,12.5,22.0,45.0,395.0,8.8,3.0,304,3626,11.9,25,Mike Thomas,2008,Arizona,Pac-10,SR,WR,13.0,74.0,825.0,11.1,4.0,24.0,114.0,4.8,1.0,98,939,9.6,5,12.0,83.0,1038.0,12.5,11.0,10.0,173.0,17.3,1.0,93,1211,13.0,12,12.0,50.0,597.0,11.9,2.0,6.0,68.0,11.3,0.0,56,665,11.9,2
0,,46.0,927.0,20.2,8.0,26.0,294.0,11.3,2.0,72,1221,17.0,10,Brandon Tate,2008,North Carolina,ACC,SR,WR,6.0,16.0,376.0,23.5,3.0,11.0,143.0,13.0,1.0,27,519,19.2,4,12.0,25.0,479.0,19.2,5.0,12.0,131.0,10.9,1.0,37,610,16.5,6,12.0,5.0,72.0,14.4,0.0,3.0,20.0,6.7,0.0,8,92,11.5,0
0,,164.0,2653.0,16.2,14.0,11.0,64.0,5.8,0.0,175,2717,15.5,14,Sammie Stroughter,2008,Oregon State,Pac-10,SR,WR,13.0,70.0,1040.0,14.9,7.0,7.0,52.0,7.4,0.0,77,1092,14.2,7,3.0,15.0,262.0,17.5,2.0,1.0,4.0,4.0,0.0,16,266,16.6,2,14.0,74.0,1293.0,17.5,5.0,3.0,8.0,2.7,0.0,77,1301,16.9,5
0,,72.0,1134.0,15.8,11.0,,,,,72,1134,15.8,11,Demetrius Byrd,2008,LSU,SEC,SR,WR,13.0,37.0,513.0,13.9,4.0,,,,,37,513,13.9,4,14.0,35.0,621.0,17.7,7.0,,,,,35,621,17.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,127.0,1866.0,14.7,24.0,,,,,127,1866,14.7,24,Brian Robiskie,2008,Ohio State,Big Ten,SR,WR,13.0,42.0,535.0,12.7,8.0,,,,,42,535,12.7,8,13.0,55.0,935.0,17.0,11.0,,,,,55,935,17.0,11,13.0,29.0,383.0,13.2,5.0,,,,,29,383,13.2,5
0,,181.0,2840.0,15.7,21.0,7.0,43.0,6.1,1.0,188,2883,15.3,22,Hakeem Nicks,2008,North Carolina,ACC,JR,WR,13.0,68.0,1222.0,18.0,12.0,5.0,34.0,6.8,1.0,73,1256,17.2,13,12.0,74.0,958.0,12.9,5.0,1.0,-1.0,-1.0,0.0,75,957,12.8,5,11.0,39.0,660.0,16.9,4.0,1.0,10.0,10.0,0.0,40,670,16.8,4
0,,77.0,1245.0,16.2,13.0,3.0,19.0,6.3,0.0,80,1264,15.8,13,Louis Murphy,2008,Florida,SEC,SR,WR,14.0,38.0,655.0,17.2,7.0,2.0,7.0,3.5,0.0,40,662,16.6,7,13.0,37.0,548.0,14.8,5.0,1.0,12.0,12.0,0.0,38,560,14.7,5,12.0,2.0,42.0,21.0,1.0,,,,,2,42,21.0,1
0,,153.0,2763.0,18.1,22.0,5.0,92.0,18.4,0.0,158,2855,18.1,22,Marko Mitchell,2008,Nevada,WAC,SR,WR,13.0,61.0,1141.0,18.7,10.0,4.0,45.0,11.3,0.0,65,1186,18.2,10,13.0,53.0,1129.0,21.3,8.0,1.0,47.0,47.0,0.0,54,1176,21.8,8,13.0,39.0,493.0,12.6,4.0,,,,,39,493,12.6,4
0,,207.0,2781.0,13.4,19.0,13.0,34.0,2.6,0.0,220,2815,12.8,19,Kenny McKinley,2008,South Carolina,SEC,SR,WR,10.0,54.0,642.0,11.9,4.0,2.0,2.0,1.0,0.0,56,644,11.5,4,12.0,77.0,968.0,12.6,9.0,5.0,15.0,3.0,0.0,82,983,12.0,9,13.0,51.0,880.0,17.3,5.0,1.0,0.0,0.0,0.0,52,880,16.9,5
0,,158.0,2282.0,14.4,16.0,2.0,35.0,17.5,0.0,160,2317,14.5,16,Mohamed Massaquoi,2008,Georgia,SEC,SR,WR,13.0,58.0,920.0,15.9,8.0,,,,,58,920,15.9,8,13.0,32.0,491.0,15.3,4.0,1.0,12.0,12.0,0.0,33,503,15.2,4,12.0,30.0,366.0,12.2,2.0,,,,,30,366,12.2,2
0,,182.0,2315.0,12.7,22.0,91.0,668.0,7.3,6.0,273,2983,10.9,28,Jeremy Maclin,2008,Missouri,Big 12,SO,WR,14.0,102.0,1260.0,12.4,13.0,40.0,293.0,7.3,2.0,142,1553,10.9,15,14.0,80.0,1055.0,13.2,9.0,51.0,375.0,7.4,4.0,131,1430,10.9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
0,,119.0,1710.0,14.4,17.0,5.0,25.0,5.0,0.0,124,1735,14.0,17,Manuel Johnson,2008,Oklahoma,Big 12,SR,WR,13.0,42.0,714.0,17.0,9.0,2.0,4.0,2.0,0.0,44,718,16.3,9,14.0,31.0,448.0,14.5,4.0,,,,,31,448,14.5,4,12.0,36.0,378.0,10.5,3.0,2.0,13.0,6.5,0.0,38,391,10.3,3
