Variables,Corr to FPTS,,,,
pickNum,-0.566504554,,,,pickNum
Age,-0.34609354,,,,Age
year,-0.078959682,,,,dr_2RecTds
Shuttle,-0.043132928,,,,dr_2TotalTds
careerRushAtt,-0.042034979,,,,dr_1Plays
dr_1games,-0.03342786,,,,careerRec
dr_3RushAtt,-0.032273424,,,,dr_2Plays
dr_2YPT,-0.031232085,,,,careerTotalTds
dr_2YPC,-0.031176508,,,,careerTotalYds
dr_3RushYds,-0.023916669,,,,dr_1Rec
dr_3RushTds,-0.021674789,,,,careerRecTds
careerRushYds,-0.02030031,,,,careerRecYds
careerRushTds,-0.006544388,,,,dr_2TotalYds
Forty,0.003469464,,,,dr_2RecYds
ThreeCone,0.004667876,,,,dr_1RecTds
dr_1RushAtt,0.00779779,,,,dr_1RecYds
dr_2RushAtt,0.010750964,,,,dr_2Rec
dr_2YPA,0.012139875,,,,dr_1TotalYds
BenchReps,0.013697672,,,,dr_1TotalTds
careerYPC,0.017332912,,,,
Vertical,0.018780723,,,,
dr_2RushTds,0.019962352,,,,
dr_3YPT,0.02269478,,,,
dr_2RushYds,0.02508152,,,,
dr_3YPC,0.031508765,,,,
careerYPT,0.031509107,,,,
dr_1RushYds,0.035446183,,,,
dr_1YPC,0.041556715,,,,
dr_1YPT,0.042410253,,,,
careerYPA,0.04527277,,,,
dr_3games,0.046596687,,,,
BroadJump,0.05410382,,,,
dr_3Plays,0.058925653,,,,
dr_1RushTds,0.062273165,,,,
dr_1YPA,0.068912924,,,,
dr_3YPA,0.089947047,,,,
dr_3TotalTds,0.093134878,,,,
dr_3RecTds,0.108174861,,,,
dr_3TotalYds,0.110863926,,,,
height,0.11124822,,,,
dr_3Rec,0.115917366,,,,
careerPlays,0.116196798,,,,
dr_2games,0.122670679,,,,
dr_3RecYds,0.130457622,,,,
Wt,0.142273876,,,,
dr_2RecTds,0.190056686,,,,
dr_2TotalTds,0.190215024,,,,
dr_1Plays,0.200245224,,,,
careerRec,0.216671867,,,,
dr_2Plays,0.2262684,,,,
careerTotalTds,0.235992389,,,,
careerTotalYds,0.236805603,,,,
dr_1Rec,0.238008903,,,,
careerRecTds,0.242780813,,,,
careerRecYds,0.253779819,,,,
dr_2TotalYds,0.262695529,,,,
dr_2RecYds,0.26438252,,,,
dr_1RecTds,0.26512985,,,,
dr_1RecYds,0.270330435,,,,
dr_2Rec,0.279057666,,,,
dr_1TotalYds,0.283995199,,,,
dr_1TotalTds,0.284688463,,,,
