ID,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player_x,Conf,Class,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds,FirstNm,LastNm,Age,Wt,Forty,Vertical,BenchReps,BroadJump,ThreeCone,Shuttle,pickNum,year,height,FPTS
197,3,31,10.3,0,723,4495,6.2,42,726,4526,6.2,42,Denard Robinson,Big Ten,SR,11,3,31,10.3,0,177,1266,7.2,7,180,1297,7.2,7,13,0,0,0,0,221,1176,5.3,16,221,1176,5.3,16,13,0,0,0,0,256,1702,6.6,14,256,1702,6.6,14,DENARD,ROBINSON,22,199,4.43,36.5,14.82580645,123,7.09,4.22,135,2013,70,0
305,22,470,21.4,3,614,4359,7.1,40,636,4829,7.6,43,Malcolm Perry,American,SR,13,0,0,0,0,295,2017,6.8,21,295,2017,6.8,21,13,9,167,18.6,1,172,1087,6.3,7,181,1254,6.9,8,12,13,303,23.3,2,138,1182,8.6,11,151,1485,9.8,13,MALCOLM,PERRY,22,186,4.63,36,10,122,7.12,4.31,246,2020,69,0
199,25,340,13.6,3,600,3315,5.5,33,625,3655,5.8,36,Braxton Miller,Big Ten,SR,13,25,340,13.6,3,43,261,6.1,1,68,601,8.8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,171,1068,6.2,12,171,1068,6.2,12,BRAXTON,MILLER,23,201,4.5,35,17,123,6.65,4.07,85,2016,73,72.2
198,99,1194,12.1,12,325,2342,7.2,24,424,3536,8.3,36,Dri Archer,MAC,SR,10,25,327,13.1,4,68,527,7.8,6,93,854,9.2,10,14,39,561,14.4,4,159,1429,9,16,198,1990,10.1,20,12,16,75,4.7,1,40,140,3.5,1,56,215,3.8,2,DRI,ARCHER,22,173,4.26,38,20,122,6.86,4.06,97,2014,68,0
193,130,1703,13.1,7,304,1955,6.4,15,434,3658,8.4,22,Dexter McCluster,SEC,SR,13,44,520,11.8,3,181,1169,6.5,8,225,1689,7.5,11,13,44,625,14.2,1,109,655,6,6,153,1280,8.4,7,8,27,326,12.1,2,6,63,10.5,0,33,389,11.8,2,DEXTER,MCCLUSTER,20,172,4.53,37.5,20,118,6.886183206,4.06,36,2010,69,0
192,133,1929,14.5,13,194,1852,9.5,19,327,3781,11.6,32,Percy Harvin,SEC,JR,12,40,644,16.1,7,70,660,9.4,10,110,1304,11.9,17,11,59,858,14.5,4,83,764,9.2,6,142,1622,11.4,10,13,34,427,12.6,2,41,428,10.4,3,75,855,11.4,5,PERCY,HARVIN,20,192,4.39,35.96571429,19,121.2294118,6.886183206,4.220289855,22,2009,71,654.9
306,114,1303,11.4,6,206,1530,7.4,13,320,2833,8.9,19,Lynn Bowden,SEC,JR,13,30,348,11.6,1,185,1468,7.9,13,215,1816,8.4,14,13,67,745,11.1,5,9,25,2.8,0,76,770,10.1,5,12,17,210,12.4,0,12,37,3.1,0,29,247,8.5,0,LYNN,BOWDEN,22,204,4.49,37.10714286,13,125.1111111,7.116666667,4.35125,80,2020,71,0
196,144,1661,11.5,13,228,1313,5.8,22,372,2974,8,35,Randall Cobb,SEC,JR,13,84,1017,12.1,7,55,424,7.7,5,139,1441,10.4,12,12,39,447,11.5,4,94,573,6.1,10,133,1020,7.7,14,11,21,197,9.4,2,79,316,4,7,100,513,5.1,9,RANDALL,COBB,20,191,4.46,33.5,16,115,7.08,4.34,64,2011,70,402.7
115,288,3413,11.9,29,110,1033,9.4,6,398,4446,11.2,35,Tavon Austin,Big 12,SR,13,114,1289,11.3,12,72,643,8.9,3,186,1932,10.4,15,13,101,1186,11.7,8,16,182,11.4,1,117,1368,11.7,9,13,58,787,13.6,8,16,161,10.1,1,74,948,12.8,9,TAVON,AUSTIN,22,174,4.34,32,14,120,6.886183206,4.01,8,2013,68,407.2
59,262,3128,11.9,18,132,892,6.8,5,394,4020,10.2,23,Jerrel Jernigan,Sun Belt,SR,13,84,822,9.8,6,45,322,7.2,3,129,1144,8.9,9,13,71,1101,15.5,4,40,266,6.7,1,111,1367,12.3,5,12,77,868,11.3,5,33,254,7.7,1,110,1122,10.2,6,JERREL,JERNIGAN,21,185,4.46,37.5,11,124,7.07,4.25,83,2011,69,89.4
195,86,969,11.3,6,166,805,4.8,6,252,1774,7,12,Greg Little,ACC,JR,13,62,724,11.7,5,29,166,5.7,1,91,890,9.8,6,13,11,146,13.3,0,78,339,4.3,3,89,485,5.4,3,11,13,99,7.6,1,59,300,5.1,2,72,399,5.5,3,GREG,LITTLE,21,231,4.51,40.5,27,129,6.8,4.21,59,2011,74,388.1
194,7,72,10.3,0,115,776,6.7,4,122,848,7,4,Trindon Holliday,SEC,SR,13,3,36,12,0,27,126,4.7,1,30,162,5.4,1,13,2,33,16.5,0,21,114,5.4,0,23,147,6.4,0,13,2,3,1.5,0,53,364,6.9,2,55,367,6.7,2,TRINDON,HOLLIDAY,23,166,4.34,42,10,116,6.54,4.48,197,2010,65,1.7
52,209,2491,11.9,22,125,701,5.6,8,334,3192,9.6,30,Kealoha Pilares,WAC,SR,13,88,1306,14.8,15,0,0,0,0,88,1306,14.8,15,13,66,690,10.5,4,1,13,13,0,67,703,10.5,4,10,29,246,8.5,2,56,300,5.4,5,85,546,6.4,7,KEALOHA,PILARES,23,199,4.42,35.96571429,19,121.2294118,6.886183206,4.220289855,132,2011,70,13.9
14,182,2315,12.7,22,91,668,7.3,6,273,2983,10.9,28,Jeremy Maclin,Big 12,SO,14,102,1260,12.4,13,40,293,7.3,2,142,1553,10.9,15,14,80,1055,13.2,9,51,375,7.4,4,131,1430,10.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,JEREMY,MACLIN,20,198,4.43,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,19,2009,72,561.6
72,210,2263,10.8,12,125,653,5.2,9,335,2916,8.7,21,Mohamed Sanu,Big East,JR,13,115,1206,10.5,7,4,-2,-0.5,0,119,1204,10.1,7,12,44,418,9.5,2,59,309,5.2,4,103,727,7.1,6,13,51,639,12.5,3,62,346,5.6,5,113,985,8.7,8,MOHAMED,SANU,22,211,4.62,36,19,126,6.88,4.22,83,2012,73,348.18
99,227,2994,13.2,16,83,631,7.6,5,310,3625,11.7,21,Markus Wheaton,Pac-12,SR,13,91,1244,13.7,11,20,142,7.1,2,111,1386,12.5,13,12,73,986,13.5,1,25,190,7.6,0,98,1176,12,1,12,55,675,12.3,4,27,220,8.1,2,82,895,10.9,6,MARKUS,WHEATON,22,189,4.45,37,20,120,6.8,4.02,79,2013,71,294.6
0,161,1743,10.8,9,117,594,5.1,8,278,2337,8.4,17,Derrick Williams,Big Ten,SR,13,44,485,11,4,43,243,5.7,3,87,728,8.4,7,13,55,529,9.6,3,16,101,6.3,1,71,630,8.9,4,13,40,440,11,1,36,145,4,1,76,585,7.7,2,DERRICK,WILLIAMS,22,194,4.47,33,15,121.2294118,6.886183206,4.220289855,82,2009,71,15.6
179,98,1338,13.7,8,68,578,8.5,2,166,1916,11.5,10,Ricardo Louis,SEC,SR,13,46,716,15.6,3,29,158,5.4,1,75,874,11.7,4,12,21,261,12.4,3,18,220,12.2,1,39,481,12.3,4,14,28,325,11.6,2,19,198,10.4,0,47,523,11.1,2,RICARDO,LOUIS,21,215,4.43,38,18,132,6.886183206,4.220289855,114,2016,74,101.2
77,127,1714,13.5,10,64,540,8.4,3,191,2254,11.8,13,Keshawn Martin,Big Ten,SR,14,66,777,11.8,4,19,113,5.9,2,85,890,10.5,6,11,32,394,12.3,1,18,157,8.7,0,50,551,11,1,13,18,411,22.8,5,18,219,12.2,1,36,630,17.5,6,KESHAWN,MARTIN,21,188,4.42,39.5,13,122,6.85,4.13,121,2012,71,100.9
43,305,3199,10.5,22,72,531,7.4,4,377,3730,9.9,26,Antonio Brown,MAC,JR,14,110,1198,10.9,9,42,341,8.1,3,152,1539,10.1,12,13,93,998,10.7,7,20,116,5.8,0,113,1114,9.9,7,14,102,1003,9.8,6,10,74,7.4,1,112,1077,9.6,7,ANTONIO,BROWN,21,186,4.56,33.5,13,105,6.98,4.18,195,2010,70,399.7
60,268,3001,11.2,20,86,526,6.1,6,354,3527,10,26,Dwayne Harris,CUSA,SR,13,101,1123,11.1,10,16,104,6.5,0,117,1227,10.5,10,14,83,978,11.8,7,31,149,4.8,5,114,1127,9.9,12,10,58,654,11.3,1,19,76,4,0,77,730,9.5,1,DWAYNE,HARRIS,23,203,4.53,34,10,111,6.77,4.21,176,2011,70,74.8
189,254,3361,13.2,21,63,520,8.3,1,317,3881,12.2,22,Tyler Boyd,ACC,JR,12,91,926,10.2,6,40,349,8.7,0,131,1275,9.7,6,13,78,1261,16.2,8,12,63,5.3,0,90,1324,14.7,8,13,85,1174,13.8,7,11,108,9.8,1,96,1282,13.4,8,TYLER,BOYD,21,197,4.58,34,11,119,6.9,4.35,55,2016,73,401.7
185,138,2163,15.7,18,71,513,7.2,4,209,2676,12.8,22,Pharoh Cooper,SEC,JR,12,66,973,14.7,8,24,111,4.6,1,90,1084,12,9,13,69,1136,16.5,9,27,200,7.4,2,96,1336,13.9,11,9,3,54,18,1,20,202,10.1,1,23,256,11.1,2,PHAROH,COOPER,21,203,4.52,31,15,115,6.886183206,4.220289855,117,2016,71,40.6
81,229,3531,15.4,24,69,498,7.2,7,298,4029,13.5,31,T.Y. Hilton,Sun Belt,SR,13,72,1038,14.4,7,19,124,6.5,1,91,1162,12.8,8,13,59,848,14.4,5,30,282,9.4,4,89,1130,12.7,9,12,57,632,11.1,5,6,49,8.2,0,63,681,10.8,5,TY,HILTON,22,183,4.34,35.96571429,14.82580645,121.2294118,6.886183206,4.220289855,92,2012,69,660.4
38,143,1986,13.9,16,58,494,8.5,2,201,2480,12.3,18,Jacoby Ford,ACC,SR,14,56,779,13.9,6,18,122,6.8,2,74,901,12.2,8,13,55,710,12.9,4,18,96,5.3,0,73,806,11,4,8,17,310,18.2,4,14,172,12.3,0,31,482,15.5,4,JACOBY,FORD,22,186,4.28,33.5,15,115,7,4.44,108,2010,69,163.5
67,302,4004,13.3,30,75,425,5.7,2,377,4429,11.7,32,Kendall Wright,Big 12,SR,13,108,1663,15.4,14,10,72,7.2,0,118,1735,14.7,14,13,78,952,12.2,7,8,53,6.6,0,86,1005,11.7,7,12,66,740,11.2,4,28,132,4.7,1,94,872,9.3,5,KENDALL,WRIGHT,22,196,4.49,38.5,14.82580645,121,6.93,4.18,20,2012,70,530.8
34,226,2309,10.2,18,118,415,3.5,6,344,2724,7.9,24,Kerry Meier,Big 12,SR,12,102,985,9.7,8,2,-2,-1,0,104,983,9.5,8,13,97,1045,10.8,8,2,-5,-2.5,0,99,1040,10.5,8,13,26,274,10.5,2,15,78,5.2,1,41,352,8.6,3,KERRY,MEIER,23,224,4.62,35,13,115,6.886183206,4.23,165,2010,74,0
110,120,1364,11.4,7,46,405,8.8,3,166,1769,10.7,10,Marquise Goodwin,Big 12,SR,13,26,340,13.1,3,13,140,10.8,3,39,480,12.3,6,12,33,421,12.8,2,22,220,10,0,55,641,11.7,2,11,31,324,10.5,1,9,37,4.1,0,40,361,9,1,MARQUISE,GOODWIN,22,183,4.27,35.96571429,13,132,6.886183206,4.220289855,78,2013,69,73
4,259,3231,12.5,22,45,395,8.8,3,304,3626,11.9,25,Mike Thomas,Pac-10,SR,13,74,825,11.1,4,24,114,4.8,1,98,939,9.6,5,12,83,1038,12.5,11,10,173,17.3,1,93,1211,13,12,12,50,597,11.9,2,6,68,11.3,0,56,665,11.9,2,MIKE,THOMAS,21,195,4.3,40.5,14.82580645,126,6.65,4.28,107,2009,68,375.9
283,44,834,19,10,33,369,11.2,4,77,1203,15.6,14,Antonio Gibson,American,SR,14,38,735,19.3,8,33,369,11.2,4,71,1104,15.5,12,5,6,99,16.5,2,0,0,0,0,6,99,16.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTONIO,GIBSON,21,228,4.39,35,16,118,7.116666667,4.35125,66,2020,72,0
46,204,3063,15,25,47,350,7.4,8,251,3413,13.6,33,Titus Young,WAC,SR,13,71,1215,17.1,9,14,94,6.7,1,85,1309,15.4,10,14,79,1041,13.2,10,15,138,9.2,3,94,1179,12.5,13,3,10,168,16.8,1,5,52,10.4,2,15,220,14.7,3,TITUS,YOUNG,21,174,4.43,35.96571429,14.82580645,123,6.886183206,4.220289855,44,2011,71,245.1
