Pick Overall,Rank,Grade,First Name,Last Name,Position,Height,Weight,College,Team
2,1,95,Nick,Bosa,DE,"6'3¾""",266,Ohio State,San Francisco
3,2,95,Quinnen,Williams,DT,"6'3""",303,Alabama,NY Jets
9,3,94,Ed,Oliver,DT,"6'1⅞""",287,Houston,Buffalo
5,4,94,Devin,White,ILB,"6'0""",237,LSU,Tampa Bay
7,5,93,Josh,Allen,OLB,"6'4⅞""",262,Kentucky,Jacksonville
8,6,92,T.J.,Hockenson,TE,"6'4¾""",251,Iowa,Detroit
13,7,92,Christian,Wilkins,DT,"6'3¼""",315,Clemson,Miami
10,8,91,Devin,Bush,ILB,"5'11""",234,Michigan,Pittsburgh
1,9,90,Kyler,Murray,QB,"5'10⅛""",207,Oklahoma,Arizona
35,10,90,Jawaan,Taylor,OT,"6'5""",312,Florida,Jacksonville
25,11,90,Marquise,Brown,WR,"5'9⅜""",166,Oklahoma,Baltimore
20,12,90,Noah,Fant,TE,"6'4⅛""",249,Iowa,Denver
12,13,90,Rashan,Gary,DE,"6'4⅜""",277,Michigan,Green Bay
16,14,90,Brian,Burns,OLB,"6'4¾""",249,Florida State,Carolina
15,15,90,Dwayne,Haskins,QB,"6'3⅜""",231,Ohio State,Washington
19,16,90,Jeffery,Simmons,DT,"6'3¾""",305,Mississippi State,Tennessee
11,17,90,Jonah,Williams,OT,"6'4½""",302,Alabama,Cincinnati
18,18,90,Garrett,Bradbury,C,"6'2⅞""",306,NC State,Minnesota
22,19,90,Andre,Dillard,OT,"6'5""",315,Washington State,Philadelphia
27,20,90,Johnathan,Abram,S,"5'11⅜""",205,Mississippi State,Las Vegas
4,21,89,Clelin,Ferrell,DE,"6'4⅜""",264,Clemson,Las Vegas
26,22,89,Montez,Sweat,DE,"6'5¾""",260,Mississippi State,Washington
24,23,89,Josh,Jacobs,RB,"5'10""",220,Alabama,Las Vegas
42,24,89,Drew,Lock,QB,"6'3¾""",228,Missouri,Denver
38,25,89,Cody,Ford,OT,"6'3¾""",329,Oklahoma,Buffalo
17,26,89,Dexter,Lawrence,DT,"6'4½""",342,Clemson,NY Giants
33,27,88,Byron,Murphy,CB,"5'10¾""",190,Washington,Arizona
21,28,88,Darnell,Savage Jr.,S,"5'10¾""",198,Maryland,Green Bay
46,29,88,Greedy,Williams,CB,"6'1⅞""",185,LSU,Cleveland
104,30,88,Ryan,Finley,QB,"6'4""",213,NC State,Cincinnati
34,31,88,Rock,Ya-Sin,CB,"5'11¾""",192,Temple,Indianapolis
28,32,88,Jerry,Tillery,DT,"6'6½""",295,Notre Dame,Los Angeles
32,33,87,N'Keal,Harry,WR,"6'2⅜""",228,Arizona State,New England
50,34,87,Irv,Smith Jr.,TE,"6'2⅜""",242,Alabama,Minnesota
48,35,87,Erik,McCoy,C,"6'3⅞""",303,Texas A&M,New Orleans
30,36,87,Deandre,Baker,CB,"5'11""",193,Georgia,NY Giants
60,37,86,Nasir,Adderley,S,"5'11¾""",206,Delaware,Los Angeles
29,38,86,L.J.,Collier,DE,"6'2¼""",283,TCU,Seattle
36,39,86,Deebo,Samuel,WR,"5'11¼""",214,South Carolina,San Francisco
64,40,86,DK,Metcalf,WR,"6'3⅜""",228,Ole Miss,Seattle
14,41,86,Chris,Lindstrom,OG,"6'3¾""",308,Boston College,Atlanta
53,42,85,Miles,Sanders,RB,"5'10⅝""",211,Penn State,Philadelphia
61,43,85,Taylor,Rapp,S,"5'11¾""",208,Washington,Los Angeles
77,44,85,Chase,Winovich,DE,"6'2¾""",256,Michigan,New England
51,45,85,A.J.,Brown,WR,"6'0½""",226,Ole Miss,Tennessee
41,46,85,Dalton,Risner,OT,"6'4¾""",312,Kansas State,Denver
23,47,84,Tytus,Howard,OT,"6'5""",322,Alabama State,Houston
57,48,84,JJ,Arcega-Whiteside,WR,"6'2""",225,Stanford,Philadelphia
59,49,84,Parris,Campbell,WR,"5'11⅞""",205,Ohio State,Indianapolis
45,50,84,Joejuan,Williams,CB,"6'3⅝""",211,Vanderbilt,New England
44,51,83,Elgton,Jenkins,C,"6'4½""",310,Mississippi State,Green Bay
105,52,83,Chauncey,Gardner-Johnson,S,"5'10⅞""",210,Florida,New Orleans
83,53,83,Justin,Layne,CB,"6'1¾""",192,Michigan State,Pittsburgh
108,54,82,Julian,Love,CB,"5'10¾""",195,Notre Dame,NY Giants
54,55,82,Lonnie,Johnson Jr.,CB,"6'1⅞""",213,Kentucky,Houston
133,56,81,Jarrett,Stidham,QB,"6'2⅜""",218,Auburn,New England
76,57,81,Terry,McLaurin,WR,"6'0⅛""",208,Ohio State,Washington
79,58,81,David,Long,CB,"5'10⅝""",196,Michigan,Los Angeles
6,59,80,Daniel,Jones,QB,"6'5⅛""",221,Duke,NY Giants
63,60,80,Juan,Thornhill,S,"6'0¼""",205,Virginia,Kansas City
93,61,80,Miles,Boykin,WR,"6'3¾""",220,Notre Dame,Baltimore
39,62,79,Sean,Bunting,CB,"6'0⅜""",195,Central Michigan,Tampa Bay
85,63,79,Jaylon,Ferguson,DE,"6'4¾""",271,Louisiana Tech,Baltimore
71,64,79,Dre'Mont,Jones,DT,"6'2¾""",281,Ohio State,Denver
126,65,78,Riley,Ridley,WR,"6'1¼""",199,Georgia,Chicago
103,66,78,Hakeem,Butler,WR,"6'5⅜""",227,Iowa State,Arizona
56,67,78,Mecole,Hardman,WR,"5'10¼""",187,Georgia,Kansas City
90,68,78,Connor,McGovern,OG,"6'5⅜""",308,Penn State,Dallas
65,69,78,Zach,Allen,DE,"6'4⅛""",281,Boston College,Arizona
55,70,77,Max,Scharping,OT,"6'5⅞""",327,Northern Illinois,Houston
75,71,77,Jace,Sternberger,TE,"6'4""",251,Texas A&M,Green Bay
52,72,77,Drew,Sample,TE,"6'4¾""",255,Washington,Cincinnati
31,73,76,Kaleb,McGary,OT,"6'7⅛""",317,Washington,Atlanta
95,74,76,Oshane,Ximines,DE,"6'3½""",253,Old Dominion,NY Giants
40,75,76,Trayvon,Mullen,CB,"6'1½""",199,Clemson,Las Vegas
