ID,careerRec,careerRecYds,careerYPC,careerRecTds,careerRushAtt,careerRushYds,careerYPA,careerRushTds,careerPlays,careerTotalYds,careerYPT,careerTotalTds,Player_x,Conf,Class,dr_1games,dr_1Rec,dr_1RecYds,dr_1YPC,dr_1RecTds,dr_1RushAtt,dr_1RushYds,dr_1YPA,dr_1RushTds,dr_1Plays,dr_1TotalYds,dr_1YPT,dr_1TotalTds,dr_2games,dr_2Rec,dr_2RecYds,dr_2YPC,dr_2RecTds,dr_2RushAtt,dr_2RushYds,dr_2YPA,dr_2RushTds,dr_2Plays,dr_2TotalYds,dr_2YPT,dr_2TotalTds,dr_3games,dr_3Rec,dr_3RecYds,dr_3YPC,dr_3RecTds,dr_3RushAtt,dr_3RushYds,dr_3YPA,dr_3RushTds,dr_3Plays,dr_3TotalYds,dr_3YPT,dr_3TotalTds,FirstNm,LastNm,Age,Wt,Forty,Vertical,BenchReps,BroadJump,ThreeCone,Shuttle,pickNum,year,height
260,159,2404,15.1,17,5,12,2.4,0,164,2416,14.7,17,Quez Watkins,CUSA,JR,12,64,1178,18.4,6,1,1,1,0,65,1179,18.1,6,11,72,889,12.3,9,4,11,2.8,0,76,900,11.8,9,11,23,337,14.7,2,0,0,0,0,23,337,14.7,2,QUEZ,WATKINS,22,185,4.35,36.5,15.5,125,7.28,4.36,200,2020,72
261,68,996,14.6,15,4,27,6.8,0,72,1023,14.2,15,Freddie Swain,SEC,SR,12,38,517,13.6,7,4,27,6.8,0,42,544,13,7,11,14,265,18.9,5,0,0,0,0,14,265,18.9,5,8,8,96,12,1,0,0,0,0,8,96,12,1,FREDDIE,SWAIN,22,197,4.46,36.5,16,124,7.05,4.26,214,2020,72
262,149,1943,13,10,42,280,6.7,7,191,2223,11.6,17,Laviska Shenault Jr.,Pac-12,JR,11,56,764,13.6,4,23,161,7,2,79,925,11.7,6,9,86,1011,11.8,6,17,115,6.8,5,103,1126,10.9,11,7,7,168,24,0,2,4,2,0,9,172,19.1,0,LAVISKA,SHENAULT,21,227,4.58,37.10714286,17,125.1111111,7.116666667,4.35125,42,2020,73
263,98,1716,17.5,24,2,75,37.5,1,100,1791,17.9,25,Henry Ruggs III,SEC,JR,12,40,746,18.7,7,2,75,37.5,1,42,821,19.5,8,14,46,741,16.1,11,0,0,0,0,46,741,16.1,11,14,12,229,19.1,6,0,0,0,0,12,229,19.1,6,HENRY,RUGGS,21,188,4.27,42,15.5,131,7.116666667,4.35125,12,2020,71
264,129,1465,11.4,16,34,172,5.1,1,163,1637,10,17,Joe Reed,ACC,SR,13,77,679,8.8,7,8,42,5.3,0,85,721,8.5,7,13,25,465,18.6,7,3,15,5,0,28,480,17.1,7,12,23,244,10.6,2,21,112,5.3,1,44,356,8.1,3,JOE,REED,22,224,4.47,38,21,123,7.116666667,4.35125,151,2020,72
265,148,2248,15.2,22,35,324,9.3,2,183,2572,14.1,24,Jalen Reagor,Big 12,JR,12,43,611,14.2,5,14,89,6.4,0,57,700,12.3,5,13,72,1061,14.7,9,13,170,13.1,2,85,1231,14.5,11,14,33,576,17.5,8,8,65,8.1,0,41,641,15.6,8,JALEN,REAGOR,21,206,4.47,42,17,138,7.31,4.46,21,2020,71
266,301,3949,13.1,39,10,50,5,0,311,3999,12.9,39,James Proche,American,SR,13,111,1225,11,15,4,18,4.5,0,115,1243,10.8,15,12,93,1199,12.9,12,2,17,8.5,0,95,1216,12.8,12,12,40,816,20.4,6,0,0,0,0,40,816,20.4,6,JAMES,PROCHE,23,201,4.49,34.5,20,125.1111111,7.27,4.4,201,2020,71
267,171,2519,14.7,19,1,9,9,0,172,2528,14.7,19,Michael Pittman,Pac-12,SR,13,101,1275,12.6,11,0,0,0,0,101,1275,12.6,11,10,41,758,18.5,6,1,9,9,0,42,767,18.3,6,9,23,404,17.6,2,0,0,0,0,23,404,17.6,2,MICHAEL,PITTMAN,22,223,4.52,36.5,13,121,6.96,4.14,34,2020,76
268,103,1327,12.9,14,9,87,9.7,0,112,1414,12.6,14,Donovan Peoples-Jones,Big Ten,JR,11,34,438,12.9,6,2,-7,-3.5,0,36,431,12,6,13,47,612,13,8,3,37,12.3,0,50,649,13,8,13,22,277,12.6,0,4,57,14.3,0,26,334,12.8,0,DONOVAN,PEOPLES-JONES,21,212,4.48,44.5,15.5,139,7.116666667,4.35125,187,2020,74
269,156,1976,12.7,13,0,0,0,0,156,1976,12.7,13,Dezmon Patmon,Pac-12,SR,13,58,762,13.1,8,0,0,0,0,58,762,13.1,8,13,61,816,13.4,5,0,0,0,0,61,816,13.4,5,9,35,379,10.8,0,0,0,0,0,35,379,10.8,0,DEZMON,PATMON,22,225,4.48,36,15,132,7.28,4.38,212,2020,76
